time	track	channel	bar	pitch	volume	instrument
16	1	1	0	1	79	120	7230144
24	1	1	0	2	79	0	3
24	2	2	0	2	72	120	7230144
24	1	1	0	2	87	120	7230144
32	1	1	1	3	87	120	7230144
32	2	2	1	3	79	120	7230144
32	2	2	1	3	75	120	7230144
32	1	1	1	3	87	0	3
32	2	2	1	3	72	0	3
36	1	1	1	4	89	120	7230144
36	1	1	1	4	87	0	3
40	1	1	1	4	89	0	3
40	1	1	1	4	91	120	7230144
48	1	1	1	5	86	120	7230144
48	1	1	1	5	91	0	3
48	2	2	1	5	70	120	7230144
48	2	2	1	5	75	0	3
48	2	2	1	5	79	0	3
56	2	2	2	6	70	0	3
56	2	2	2	6	77	120	7230144
56	2	2	2	6	74	120	7230144
56	1	1	2	6	86	0	3
56	1	1	2	6	94	120	7230144
72	1	1	2	8	84	120	7230144
72	1	1	2	8	94	0	3
72	2	2	2	8	68	120	7230144
72	2	2	2	8	74	0	3
72	2	2	2	8	77	0	3
80	1	1	3	9	84	120	7230144
80	1	1	3	9	84	0	3
80	2	2	3	9	75	120	7230144
80	2	2	3	9	68	0	3
80	2	2	3	9	72	120	7230144
84	1	1	3	10	84	0	3
84	1	1	3	10	86	120	7230144
88	1	1	3	10	86	0	3
88	1	1	3	10	87	120	7230144
96	1	1	3	11	87	0	3
96	1	1	3	11	82	120	7230144
96	2	2	3	11	75	0	3
96	2	2	3	11	67	120	7230144
96	2	2	3	11	72	0	3
104	1	1	4	12	82	0	3
104	1	1	4	12	91	120	7230144
104	2	2	4	12	74	120	7230144
104	2	2	4	12	70	120	7230144
104	2	2	4	12	67	0	3
120	1	1	4	14	80	120	7230144
120	2	2	4	14	70	0	3
120	2	2	4	14	74	0	3
120	2	2	4	14	65	120	7230144
120	1	1	4	14	91	0	3
128	1	1	5	15	80	0	3
128	1	1	5	15	80	120	7230144
128	2	2	5	15	72	120	7230144
128	2	2	5	15	68	120	7230144
128	2	2	5	15	65	0	3
132	1	1	5	16	80	0	3
132	1	1	5	16	82	120	7230144
136	1	1	5	16	82	0	3
136	1	1	5	16	84	120	7230144
144	2	2	5	17	72	0	3
144	2	2	5	17	70	120	7230144
144	2	2	5	17	68	0	3
144	1	1	5	17	84	0	3
144	1	1	5	17	86	120	7230144
152	1	1	6	18	86	0	3
152	1	1	6	18	84	120	7230144
152	2	2	6	18	74	120	7230144
152	2	2	6	18	70	0	3
152	2	2	6	18	77	120	7230144
160	1	1	6	19	82	120	7230144
160	1	1	6	19	84	0	3
168	1	1	6	20	79	120	7230144
168	1	1	6	20	82	0	3
168	2	2	6	20	74	0	3
168	2	2	6	20	63	120	7230144
168	2	2	6	20	77	0	3
176	2	2	7	21	70	120	7230144
176	2	2	7	21	67	120	7230144
176	2	2	7	21	63	0	3
184	1	1	7	22	77	120	7230144
184	1	1	7	22	79	0	3
192	1	1	7	23	79	120	7230144
192	1	1	7	23	77	0	3
192	2	2	7	23	67	120	7230144
192	2	2	7	23	70	0	3
192	2	2	7	23	67	0	3
200	2	2	8	24	67	0	3
200	2	2	8	24	71	120	7230144
200	2	2	8	24	74	120	7230144
208	1	1	8	25	79	0	3
208	1	1	8	25	79	120	7230144
216	2	2	8	26	74	0	3
216	2	2	8	26	72	120	7230144
216	1	1	8	26	79	0	3
216	1	1	8	26	87	120	7230144
216	2	2	8	26	71	0	3
224	1	1	9	27	87	0	3
224	1	1	9	27	87	120	7230144
224	2	2	9	27	72	0	3
224	2	2	9	27	75	120	7230144
224	2	2	9	27	79	120	7230144
228	1	1	9	28	87	0	3
228	1	1	9	28	89	120	7230144
232	1	1	9	28	89	0	3
232	1	1	9	28	91	120	7230144
240	2	2	9	29	75	0	3
240	2	2	9	29	70	120	7230144
240	2	2	9	29	79	0	3
240	1	1	9	29	91	0	3
240	1	1	9	29	86	120	7230144
248	1	1	10	30	86	0	3
248	1	1	10	30	94	120	7230144
248	2	2	10	30	70	0	3
248	2	2	10	30	74	120	7230144
248	2	2	10	30	77	120	7230144
264	1	1	10	32	94	0	3
264	1	1	10	32	84	120	7230144
264	2	2	10	32	74	0	3
264	2	2	10	32	77	0	3
264	2	2	10	32	68	120	7230144
272	2	2	11	33	68	0	3
272	2	2	11	33	75	120	7230144
272	1	1	11	33	84	120	7230144
272	1	1	11	33	84	0	3
272	2	2	11	33	72	120	7230144
276	1	1	11	34	84	0	3
276	1	1	11	34	86	120	7230144
280	1	1	11	34	86	0	3
280	1	1	11	34	87	120	7230144
288	1	1	11	35	82	120	7230144
288	1	1	11	35	87	0	3
288	2	2	11	35	67	120	7230144
288	2	2	11	35	72	0	3
288	2	2	11	35	75	0	3
296	1	1	12	36	91	120	7230144
296	1	1	12	36	82	0	3
296	2	2	12	36	74	120	7230144
296	2	2	12	36	70	120	7230144
296	2	2	12	36	67	0	3
312	1	1	12	38	80	120	7230144
312	2	2	12	38	70	0	3
312	2	2	12	38	65	120	7230144
312	2	2	12	38	74	0	3
312	1	1	12	38	91	0	3
320	1	1	13	39	80	0	3
320	1	1	13	39	82	120	7230144
320	2	2	13	39	68	120	7230144
320	2	2	13	39	72	120	7230144
320	2	2	13	39	65	0	3
328	1	1	13	40	82	0	3
